original,translated,num_feat,excl_feat,win,scale
tsh,TSH,ANG2_Z_IDS,rau_61,,
tsh_z,TSH_Z,TIE2_Z_IDS,rau_63,,
tsh_p,TSH_P,MFGE8,rau_64,,
ft3,FT3,SCLERO,rau_65,,
ft4,FT4,WNT5A,rau_66,,
tpo_ak,TPO,,THY_PAR,,
tpo_ak_z,TPO_Z,,THY_OBS,,
tpo_ak_p,TPO_P,,THY_ID,,
ft3_re,FT3_RE,,SOMA_PAR,,
ft3_re_z,FT3_RE_Z,,TSH_Z,,
ft3_re_p,FT3_RE_P,,TPO_Z,,
ft4_re,FT4_RE,,FT3_RE_Z,,
ft4_re_z,FT4_RE_Z,,HCGB_RE_Z,,
ft4_re_p,FT4_RE_P,,TSH_RE_Z,,
hcgb_re_s,HCGB_RE,,VITD25_Z_IDS,,
hcgb_re_s_z,HCGB_RE_Z,,BAP_Z_IDS,,
hcgb_re_s_p,HCGB_RE_P,,IGFBP3_Z_IDS,,
tsh_re,TSH_RE,,CTX_Z_IDS,,
tsh_re_z,TSH_RE_Z,,IGF1_Z_IDS,,
tsh_re_p,TSH_RE_P,,OSTEO_Z_IDS,,
testo,TEST,,ANG2_Z_IDS,,
shbg,SHBG,,TIE2_Z_IDS,,
igfbp3,IGFBP3,,TSH,,
igf1,IGF1,,FT4_RE_Z,,
renin,RENIN,,AGE0,,
aldo,ALDO,,THY_BEG,,
vitd25,VITD25_IDS,,THY_END,,
vitd25_p,VITD25_P_IDS,,,,
vitd25_z,VITD25_Z_IDS,,,,
bap,BAP_IDS,,,,
bap_p,BAP_P_IDS,,,,
bap_z,BAP_Z_IDS,,,,
igfbp3_ids,IGFBP3_IDS,,,,
igfbp3_ids_p,IGFBP3_P_IDS,,,,
igfbp3_ids_z,IGFBP3_Z_IDS,,,,
ctx,CTX_IDS,,,,
ctx_p,CTX_P_IDS,,,,
ctx_z,CTX_Z_IDS,,,,
igf1_ids,IGF1_IDS,,,,
igf1_ids_p,IGF1_P_IDS,,,,
igf1_ids_z,IGF1_Z_IDS,,,,
osteo,OSTEO_IDS,,,,
osteo_p,OSTEO_P_IDS,,,,
osteo_z,OSTEO_Z_IDS,,,,
pinp,PINP_IDS,,,,
pth,PTH_IDS,,,,
ang2,ANG2_IDS,,,,
tie2,TIE2_IDS,,,,
ang2_p,ANG2_P_IDS,,,,
ang2_z,ANG2_Z_IDS,,,,
tie2_p,TIE2_P_IDS,,,,
tie2_z,TIE2_Z_IDS,,,,
mfge8,MFGE8,,,,
sclero,SCLERO,,,,
wnt5a,WNT5A,,,,
